Customer ID,Age,Gender,Location,Subscription Status,Item Purchased,Category,Size,Color,Season,Purchase Amount (USD),Previous Purchases,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Promo_Dependency_Score,Review Rating,Review_Satisfaction_Score,Purchase_Intensity_Score,Frequency_Category_Score,Category_Diversity,Normalized_Category_Diversity,Customer_Value_Tier,Loyalty_Score_A,Loyalty_Score_B,Promo_Dependency_Segment,Customer_Engagement_Segment,Master_Customer_Segment
11,53,Male,Arkansas,Yes,Shoes,Footwear,L,Purple,Fall,34,26,Bank Transfer,Store Pickup,1,1,1,4.1,0.82,0.52,0.75,1,1,Low Value,0.538,0.43,Highly Promo Dependent,Moderately Engaged,Discount Survivors
12,30,Male,Hawaii,Yes,Shorts,Clothing,S,Olive,Winter,68,10,Bank Transfer,Store Pickup,1,1,1,4.9,0.98,0.2,0.8,1,1,Mid Value,0.468,0.44,Highly Promo Dependent,Low Engagement,Discount Survivors
13,61,Male,Delaware,Yes,Coat,Outerwear,M,Gold,Winter,72,37,Venmo,Express,1,1,1,4.5,0.9,0.74,0.8,1,1,Mid Value,0.622,0.73,Highly Promo Dependent,Highly Engaged,Discount Survivors
14,65,Male,New Hampshire,Yes,Dress,Clothing,M,Violet,Spring,51,31,PayPal,Express,1,1,1,4.7,0.94,0.62,1,1,1,Mid Value,0.63,0.565,Highly Promo Dependent,Moderately Engaged,Discount Survivors
15,64,Male,New York,Yes,Coat,Outerwear,L,Teal,Winter,53,34,Debit Card,Free Shipping,1,1,1,4.7,0.94,0.68,1,1,1,Mid Value,0.648,0.605,Highly Promo Dependent,Moderately Engaged,Discount Survivors
16,64,Male,Rhode Island,Yes,Skirt,Clothing,M,Teal,Winter,81,8,PayPal,Store Pickup,1,1,1,2.8,0.56,0.16,0.6,1,1,High Value,0.374,0.485,Highly Promo Dependent,Low Engagement,Discount Survivors
17,25,Male,Alabama,Yes,Sunglasses,Accessories,S,Gray,Spring,36,44,Debit Card,Next Day Air,1,1,1,4.1,0.82,0.88,0.75,1,1,Low Value,0.646,0.62,Highly Promo Dependent,Highly Engaged,Discount Survivors
18,53,Male,Mississippi,Yes,Dress,Clothing,XL,Lavender,Winter,38,36,Venmo,2-Day Shipping,1,1,1,4.7,0.94,0.72,0.4,1,1,Low Value,0.54,0.55,Highly Promo Dependent,Highly Engaged,Discount Survivors
19,52,Male,Montana,Yes,Sweater,Clothing,S,Black,Summer,48,17,Cash,Free Shipping,1,1,1,4.6,0.92,0.34,1,1,1,Mid Value,0.544,0.41,Highly Promo Dependent,Low Engagement,Discount Survivors
20,66,Male,Rhode Island,Yes,Pants,Clothing,M,Green,Summer,90,46,Debit Card,Standard,1,1,1,3.3,0.66,0.92,0.75,1,1,High Value,0.642,0.91,Highly Promo Dependent,Highly Engaged,Discount Survivors
21,21,Male,Louisiana,Yes,Pants,Clothing,M,Black,Winter,51,50,Cash,Express,1,1,1,2.8,0.56,1,0.35,1,1,Mid Value,0.576,0.755,Highly Promo Dependent,Highly Engaged,Discount Survivors
22,31,Male,North Carolina,Yes,Pants,Clothing,M,Charcoal,Winter,62,22,Debit Card,Store Pickup,1,1,1,4.1,0.82,0.44,0.4,1,1,Mid Value,0.444,0.53,Highly Promo Dependent,Moderately Engaged,Discount Survivors
23,56,Male,California,Yes,Pants,Clothing,M,Peach,Summer,37,32,Debit Card,Store Pickup,1,1,1,3.2,0.64,0.64,0.2,1,1,Low Value,0.446,0.505,Highly Promo Dependent,Moderately Engaged,Discount Survivors
24,31,Male,Oklahoma,Yes,Pants,Clothing,XL,White,Winter,88,40,Credit Card,Express,1,1,1,4.4,0.88,0.8,1,1,1,High Value,0.678,0.84,Highly Promo Dependent,Highly Engaged,Discount Survivors
25,18,Male,Florida,Yes,Jacket,Outerwear,M,Green,Fall,22,16,Debit Card,Store Pickup,1,1,1,2.9,0.58,0.32,1,1,1,Low Value,0.504,0.27,Highly Promo Dependent,Low Engagement,Discount Survivors
26,18,Male,Texas,Yes,Hoodie,Clothing,M,Silver,Summer,25,14,PayPal,Express,1,1,1,3.6,0.72,0.28,0.2,1,1,Low Value,0.346,0.265,Highly Promo Dependent,Low Engagement,Discount Survivors
27,38,Male,Nevada,Yes,Jewelry,Accessories,M,Red,Spring,20,13,Credit Card,Next Day Air,1,1,1,3.6,0.72,0.26,0.2,1,1,Low Value,0.34,0.23,Highly Promo Dependent,Low Engagement,Discount Survivors
28,56,Male,Kentucky,Yes,Shorts,Clothing,L,Cyan,Summer,56,7,Bank Transfer,Next Day Air,1,1,1,5,1,0.14,0.35,1,1,Mid Value,0.362,0.35,Highly Promo Dependent,Low Engagement,Discount Survivors
29,54,Male,North Carolina,Yes,Handbag,Accessories,M,Gray,Fall,94,41,PayPal,Free Shipping,1,1,1,4.4,0.88,0.82,0.35,1,1,High Value,0.554,0.88,Highly Promo Dependent,Highly Engaged,Discount Survivors
30,31,Male,Wyoming,Yes,Dress,Clothing,S,Black,Fall,48,14,Credit Card,Store Pickup,1,1,1,4.1,0.82,0.28,1,1,1,Mid Value,0.516,0.38,Highly Promo Dependent,Low Engagement,Discount Survivors
31,57,Male,North Carolina,Yes,Jewelry,Accessories,L,Black,Winter,31,16,Credit Card,Standard,1,1,1,4.7,0.94,0.32,0.6,1,1,Low Value,0.46,0.315,Highly Promo Dependent,Low Engagement,Discount Survivors
32,33,Male,West Virginia,Yes,Dress,Clothing,L,Brown,Winter,79,45,Venmo,Store Pickup,1,1,1,4.7,0.94,0.9,0.6,1,1,High Value,0.634,0.845,Highly Promo Dependent,Highly Engaged,Discount Survivors
33,36,Male,Kansas,Yes,Jacket,Outerwear,M,Silver,Summer,67,37,Venmo,Free Shipping,1,1,1,4.9,0.98,0.74,0.2,1,1,Mid Value,0.51,0.705,Highly Promo Dependent,Highly Engaged,Discount Survivors
34,54,Male,Colorado,Yes,Pants,Clothing,L,Green,Summer,38,45,Cash,Store Pickup,1,1,1,3.3,0.66,0.9,0.4,1,1,Low Value,0.566,0.64,Highly Promo Dependent,Highly Engaged,Discount Survivors
35,36,Male,North Dakota,Yes,T-shirt,Clothing,L,Violet,Spring,91,38,PayPal,2-Day Shipping,1,1,1,4.6,0.92,0.76,0.4,1,1,High Value,0.55,0.835,Highly Promo Dependent,Highly Engaged,Discount Survivors
36,54,Male,Massachusetts,Yes,Blouse,Clothing,M,Cyan,Summer,33,48,Credit Card,2-Day Shipping,1,1,1,4,0.8,0.96,0.75,1,1,Low Value,0.668,0.645,Highly Promo Dependent,Highly Engaged,Discount Survivors
37,35,Male,Illinois,Yes,T-shirt,Clothing,M,Maroon,Winter,69,44,PayPal,Free Shipping,1,1,1,4.6,0.92,0.88,0.8,1,1,Mid Value,0.666,0.785,Highly Promo Dependent,Highly Engaged,Discount Survivors
38,35,Male,Indiana,Yes,Jeans,Clothing,S,Cyan,Summer,45,10,PayPal,Store Pickup,1,1,1,2.8,0.56,0.2,1,1,1,Low Value,0.466,0.325,Highly Promo Dependent,Low Engagement,Discount Survivors
39,29,Male,Florida,Yes,Dress,Clothing,M,Red,Winter,37,44,Venmo,2-Day Shipping,1,1,1,,,0.88,0.35,1,1,Low Value,0.559001294,0.625,Highly Promo Dependent,Highly Engaged,Discount Survivors
40,70,Male,Arizona,Yes,Pants,Clothing,S,Turquoise,Summer,60,18,Credit Card,Express,1,1,1,4.2,0.84,0.36,0.6,1,1,Mid Value,0.462,0.48,Highly Promo Dependent,Low Engagement,Discount Survivors
41,69,Male,Louisiana,Yes,Handbag,Accessories,L,Beige,Winter,76,31,Debit Card,Next Day Air,1,1,1,4.6,0.92,0.62,0.4,1,1,High Value,0.508,0.69,Highly Promo Dependent,Moderately Engaged,Discount Survivors
42,67,Male,Alaska,Yes,Scarf,Accessories,M,Orange,Spring,39,40,Venmo,Standard,1,1,1,4.5,0.9,0.8,0.2,1,1,Low Value,0.52,0.595,Highly Promo Dependent,Highly Engaged,Discount Survivors
43,20,Male,Tennessee,Yes,Coat,Outerwear,M,Beige,Spring,100,15,PayPal,Free Shipping,1,1,1,4.1,0.82,0.3,0.2,1,1,High Value,0.362,0.65,Highly Promo Dependent,Low Engagement,Discount Survivors
44,25,Male,Ohio,Yes,Scarf,Accessories,L,Lavender,Fall,69,19,PayPal,Store Pickup,1,1,1,3.7,0.74,0.38,0.8,1,1,Mid Value,0.498,0.535,Highly Promo Dependent,Low Engagement,Discount Survivors
45,39,Male,Kentucky,Yes,Hat,Accessories,S,Silver,Summer,53,45,PayPal,Free Shipping,1,1,1,4.6,0.92,0.9,1,1,1,Mid Value,0.712,0.715,Highly Promo Dependent,Highly Engaged,Discount Survivors
46,50,Male,Tennessee,Yes,Socks,Clothing,XL,Indigo,Fall,21,25,PayPal,2-Day Shipping,1,1,1,2.9,0.58,0.5,0.2,1,1,Low Value,0.398,0.355,Highly Promo Dependent,Moderately Engaged,Discount Survivors
47,57,Male,California,Yes,Shirt,Clothing,L,White,Summer,43,45,Cash,Store Pickup,1,1,1,2.9,0.58,0.9,0.4,1,1,Low Value,0.558,0.665,Highly Promo Dependent,Highly Engaged,Discount Survivors
48,55,Male,Montana,Yes,Jewelry,Accessories,M,Charcoal,Winter,54,36,Cash,Free Shipping,1,1,1,4.5,0.9,0.72,1,1,1,Mid Value,0.656,0.63,Highly Promo Dependent,Highly Engaged,Discount Survivors
49,42,Male,Nevada,Yes,Shirt,Clothing,M,Orange,Summer,55,38,Cash,Store Pickup,1,1,1,2.7,0.54,0.76,0.6,1,1,Mid Value,0.552,0.655,Highly Promo Dependent,Highly Engaged,Discount Survivors
50,68,Male,New Jersey,Yes,Hoodie,Clothing,S,Indigo,Spring,30,34,Debit Card,Next Day Air,1,1,1,4.6,0.92,0.68,0.75,1,1,Low Value,0.596,0.49,Highly Promo Dependent,Moderately Engaged,Discount Survivors
51,49,Male,Maryland,Yes,Blouse,Clothing,M,Red,Spring,28,39,Debit Card,Store Pickup,1,1,1,,,0.78,0.75,1,1,Low Value,0.609001294,0.53,Highly Promo Dependent,Highly Engaged,Discount Survivors
52,59,Male,Vermont,Yes,Skirt,Clothing,XL,Gray,Winter,59,7,Credit Card,2-Day Shipping,1,1,1,4.7,0.94,0.14,0.4,1,1,Mid Value,0.366,0.365,Highly Promo Dependent,Low Engagement,Discount Survivors
53,42,Male,Alaska,Yes,T-shirt,Clothing,M,Green,Summer,20,26,Credit Card,Free Shipping,1,1,1,2.6,0.52,0.52,1,1,1,Low Value,0.558,0.36,Highly Promo Dependent,Moderately Engaged,Discount Survivors
54,29,Male,Mississippi,Yes,Skirt,Clothing,S,Peach,Winter,24,35,Credit Card,Next Day Air,1,1,1,3.9,0.78,0.7,1,1,1,Low Value,0.638,0.47,Highly Promo Dependent,Highly Engaged,Discount Survivors
55,47,Male,New Mexico,Yes,Coat,Outerwear,M,Brown,Summer,94,35,Debit Card,Next Day Air,1,1,1,4.2,0.84,0.7,0.75,1,1,High Value,0.594,0.82,Highly Promo Dependent,Highly Engaged,Discount Survivors
56,40,Male,South Carolina,Yes,Jacket,Outerwear,M,Lavender,Winter,28,49,Credit Card,2-Day Shipping,1,1,1,3,0.6,0.98,0.2,1,1,Low Value,0.544,0.63,Highly Promo Dependent,Highly Engaged,Discount Survivors
57,41,Male,Mississippi,Yes,Backpack,Accessories,XL,Brown,Summer,73,46,Credit Card,Store Pickup,1,1,1,4.7,0.94,0.92,1,1,1,Mid Value,0.72,0.825,Highly Promo Dependent,Highly Engaged,Discount Survivors
58,21,Male,West Virginia,Yes,Coat,Outerwear,M,White,Summer,64,17,Debit Card,Store Pickup,1,1,1,4.4,0.88,0.34,0.8,1,1,Mid Value,0.5,0.49,Highly Promo Dependent,Low Engagement,Discount Survivors
59,69,Male,Missouri,Yes,Hoodie,Clothing,M,Charcoal,Summer,54,29,Venmo,Free Shipping,1,1,1,4.2,0.84,0.58,0.6,1,1,Mid Value,0.528,0.56,Highly Promo Dependent,Moderately Engaged,Discount Survivors
60,63,Male,Louisiana,Yes,Belt,Accessories,L,Yellow,Spring,79,4,Debit Card,Standard,1,1,1,4.6,0.92,0.08,1,1,1,High Value,0.466,0.435,Highly Promo Dependent,Low Engagement,Discount Survivors
61,50,Male,Idaho,Yes,Sweater,Clothing,L,Brown,Summer,37,17,Cash,Express,1,1,1,4,0.8,0.34,1,1,1,Low Value,0.532,0.355,Highly Promo Dependent,Low Engagement,Discount Survivors
62,55,Male,Texas,Yes,Scarf,Accessories,M,Orange,Winter,68,21,Credit Card,Store Pickup,1,1,1,4.7,0.94,0.42,0.35,1,1,Mid Value,0.44,0.55,Highly Promo Dependent,Moderately Engaged,Discount Survivors
63,30,Male,Mississippi,Yes,Sneakers,Footwear,S,Magenta,Spring,21,31,Credit Card,Free Shipping,1,1,1,3.8,0.76,0.62,0.8,1,1,Low Value,0.572,0.415,Highly Promo Dependent,Moderately Engaged,Discount Survivors
64,33,Male,Arizona,Yes,Sunglasses,Accessories,L,Lavender,Winter,79,43,Credit Card,2-Day Shipping,1,1,1,2.7,0.54,0.86,1,1,1,High Value,0.662,0.825,Highly Promo Dependent,Highly Engaged,Discount Survivors
65,65,Male,Alabama,Yes,Boots,Footwear,S,Green,Fall,83,18,Debit Card,Standard,1,1,1,4.8,0.96,0.36,0.8,1,1,High Value,0.514,0.595,Highly Promo Dependent,Low Engagement,Discount Survivors
66,65,Male,New Jersey,Yes,Backpack,Accessories,M,Purple,Spring,36,44,Venmo,2-Day Shipping,1,1,1,4.8,0.96,0.88,0.35,1,1,Low Value,0.58,0.62,Highly Promo Dependent,Highly Engaged,Discount Survivors
67,31,Male,Pennsylvania,Yes,Blouse,Clothing,S,Magenta,Winter,94,3,Venmo,2-Day Shipping,1,1,1,4.7,0.94,0.06,0.35,1,1,High Value,0.332,0.5,Highly Promo Dependent,Low Engagement,Discount Survivors
68,45,Male,Connecticut,Yes,Coat,Outerwear,L,Gray,Winter,33,49,Debit Card,Store Pickup,1,1,1,4.4,0.88,0.98,0.6,1,1,Low Value,0.652,0.655,Highly Promo Dependent,Highly Engaged,Discount Survivors
69,57,Male,Utah,Yes,Handbag,Accessories,L,Silver,Summer,46,21,Cash,Next Day Air,1,1,1,3.9,0.78,0.42,0.35,1,1,Mid Value,0.424,0.44,Highly Promo Dependent,Moderately Engaged,Discount Survivors
70,48,Male,Tennessee,Yes,Belt,Accessories,S,Cyan,Summer,70,5,Cash,Express,1,1,1,4.4,0.88,0.1,1,1,1,Mid Value,0.468,0.4,Highly Promo Dependent,Low Engagement,Discount Survivors
71,22,Male,Alabama,Yes,Belt,Accessories,M,Magenta,Fall,29,32,Debit Card,Express,1,1,1,4.2,0.84,0.64,0.35,1,1,Low Value,0.496,0.465,Highly Promo Dependent,Moderately Engaged,Discount Survivors
72,36,Male,Virginia,Yes,Dress,Clothing,L,Gold,Summer,48,34,Bank Transfer,Express,1,1,1,2.9,0.58,0.68,0.2,1,1,Mid Value,0.452,0.58,Highly Promo Dependent,Moderately Engaged,Discount Survivors
73,18,Male,Georgia,Yes,Dress,Clothing,M,Olive,Winter,26,21,Bank Transfer,Store Pickup,1,1,1,2.9,0.58,0.42,0.35,1,1,Low Value,0.404,0.34,Highly Promo Dependent,Moderately Engaged,Discount Survivors
74,48,Male,Hawaii,Yes,Pants,Clothing,M,Teal,Spring,85,43,Bank Transfer,Free Shipping,1,1,1,2.7,0.54,0.86,0.75,1,1,High Value,0.612,0.855,Highly Promo Dependent,Highly Engaged,Discount Survivors
75,49,Male,Indiana,Yes,Gloves,Accessories,L,Violet,Spring,58,3,Cash,Express,1,1,1,4.5,0.9,0.06,0.6,1,1,Mid Value,0.378,0.32,Highly Promo Dependent,Low Engagement,Discount Survivors
76,64,Male,Utah,Yes,Scarf,Accessories,M,Blue,Summer,85,21,Credit Card,Free Shipping,1,1,1,2.7,0.54,0.42,0.2,1,1,High Value,0.37,0.635,Highly Promo Dependent,Moderately Engaged,Discount Survivors
77,50,Male,Delaware,Yes,Hat,Accessories,S,Teal,Summer,43,32,Venmo,Free Shipping,1,1,1,4.2,0.84,0.64,0.6,1,1,Low Value,0.546,0.535,Highly Promo Dependent,Moderately Engaged,Discount Survivors
78,22,Male,Delaware,Yes,Dress,Clothing,L,Gold,Summer,53,36,Debit Card,Next Day Air,1,1,1,3.3,0.66,0.72,0.8,1,1,Mid Value,0.592,0.625,Highly Promo Dependent,Highly Engaged,Discount Survivors
79,50,Male,Nebraska,Yes,Skirt,Clothing,M,Maroon,Spring,91,50,Venmo,Free Shipping,1,1,1,4.7,0.94,1,0.8,1,1,High Value,0.704,0.955,Highly Promo Dependent,Highly Engaged,Discount Survivors
80,38,Male,Iowa,Yes,Jacket,Outerwear,M,Olive,Winter,96,43,Bank Transfer,2-Day Shipping,1,1,1,2.6,0.52,0.86,0.35,1,1,High Value,0.53,0.91,Highly Promo Dependent,Highly Engaged,Discount Survivors
81,19,Male,New York,Yes,Sandals,Footwear,XL,Blue,Summer,72,24,Credit Card,Store Pickup,1,1,1,,,0.48,0.35,1,1,Mid Value,0.439001294,0.6,Highly Promo Dependent,Moderately Engaged,Discount Survivors
82,67,Male,Virginia,Yes,Shoes,Footwear,L,Maroon,Summer,96,36,Credit Card,Express,1,1,1,2.6,0.52,0.72,0.35,1,1,High Value,0.488,0.84,Highly Promo Dependent,Highly Engaged,Discount Survivors
83,19,Male,Georgia,Yes,Pants,Clothing,S,Olive,Spring,28,21,Credit Card,2-Day Shipping,1,1,1,4,0.8,0.42,0.35,1,1,Low Value,0.426,0.35,Highly Promo Dependent,Moderately Engaged,Discount Survivors
84,36,Male,Texas,Yes,Dress,Clothing,M,Turquoise,Summer,40,34,Bank Transfer,Standard,1,1,1,4.1,0.82,0.68,1,1,1,Low Value,0.636,0.54,Highly Promo Dependent,Moderately Engaged,Discount Survivors
85,52,Male,Arizona,Yes,Coat,Outerwear,S,Peach,Spring,32,42,Bank Transfer,Standard,1,1,1,4.4,0.88,0.84,0.35,1,1,Low Value,0.56,0.58,Highly Promo Dependent,Highly Engaged,Discount Survivors
86,53,Male,New Mexico,Yes,Sunglasses,Accessories,M,Charcoal,Winter,95,2,Debit Card,Next Day Air,1,1,1,4.5,0.9,0.04,0.75,1,1,High Value,0.402,0.495,Highly Promo Dependent,Low Engagement,Discount Survivors
87,24,Male,Nevada,Yes,Hoodie,Clothing,L,Pink,Spring,41,47,Cash,2-Day Shipping,1,1,1,3.7,0.74,0.94,0.75,1,1,Low Value,0.656,0.675,Highly Promo Dependent,Highly Engaged,Discount Survivors
88,52,Male,Ohio,Yes,Shoes,Footwear,M,Green,Fall,53,44,Debit Card,2-Day Shipping,1,1,1,3.7,0.74,0.88,0.8,1,1,Mid Value,0.648,0.705,Highly Promo Dependent,Highly Engaged,Discount Survivors
89,33,Male,Wyoming,Yes,T-shirt,Clothing,M,Orange,Fall,47,35,Credit Card,Free Shipping,1,1,1,3.5,0.7,0.7,0.6,1,1,Mid Value,0.55,0.585,Highly Promo Dependent,Highly Engaged,Discount Survivors
90,47,Male,California,Yes,Jacket,Outerwear,XL,Pink,Fall,83,15,Cash,Next Day Air,1,1,1,3.6,0.72,0.3,0.4,1,1,High Value,0.392,0.565,Highly Promo Dependent,Low Engagement,Discount Survivors
91,25,Male,South Carolina,Yes,Hat,Accessories,L,Violet,Summer,48,29,Credit Card,Express,1,1,1,2.9,0.58,0.58,0.6,1,1,Mid Value,0.502,0.53,Highly Promo Dependent,Moderately Engaged,Discount Survivors
92,44,Male,South Carolina,Yes,Scarf,Accessories,S,Green,Winter,99,18,Credit Card,Standard,1,1,1,4.6,0.92,0.36,0.35,1,1,High Value,0.42,0.675,Highly Promo Dependent,Low Engagement,Discount Survivors
93,61,Male,Texas,Yes,Jacket,Outerwear,M,Olive,Winter,87,13,Venmo,2-Day Shipping,1,1,1,4.4,0.88,0.26,0.35,1,1,High Value,0.386,0.565,Highly Promo Dependent,Low Engagement,Discount Survivors
94,37,Male,Florida,Yes,Sweater,Clothing,M,Purple,Fall,62,46,Credit Card,Standard,1,1,1,4.5,0.9,0.92,1,1,1,Mid Value,0.716,0.77,Highly Promo Dependent,Highly Engaged,Discount Survivors
95,58,Male,Nevada,Yes,Skirt,Clothing,S,Silver,Spring,76,28,Credit Card,Free Shipping,1,1,1,4.6,0.92,0.56,1,1,1,High Value,0.61,0.66,Highly Promo Dependent,Moderately Engaged,Discount Survivors
96,37,Male,Missouri,Yes,Sneakers,Footwear,L,Pink,Fall,100,48,PayPal,Free Shipping,1,1,1,3.8,0.76,0.96,0.6,1,1,High Value,0.634,0.98,Highly Promo Dependent,Highly Engaged,Discount Survivors
97,32,Male,Delaware,Yes,Gloves,Accessories,S,Gold,Spring,73,43,Venmo,Express,1,1,1,,,0.86,0.35,1,1,Mid Value,0.553001294,0.795,Highly Promo Dependent,Highly Engaged,Discount Survivors
98,21,Male,Virginia,Yes,Shoes,Footwear,M,Teal,Winter,92,37,Cash,Store Pickup,1,1,1,4.8,0.96,0.74,0.2,1,1,High Value,0.508,0.83,Highly Promo Dependent,Highly Engaged,Discount Survivors
99,20,Male,New York,Yes,Jeans,Clothing,XL,Teal,Spring,67,20,Bank Transfer,Next Day Air,1,1,1,2.6,0.52,0.4,0.2,1,1,Mid Value,0.362,0.535,Highly Promo Dependent,Moderately Engaged,Discount Survivors
100,26,Male,Missouri,Yes,Hoodie,Clothing,XL,Indigo,Summer,40,33,Debit Card,Express,1,1,1,3.7,0.74,0.66,0.4,1,1,Low Value,0.502,0.53,Highly Promo Dependent,Moderately Engaged,Discount Survivors
101,62,Male,South Dakota,Yes,Sunglasses,Accessories,M,Maroon,Fall,98,31,Cash,Express,1,1,1,2.7,0.54,0.62,0.8,1,1,High Value,0.55,0.8,Highly Promo Dependent,Moderately Engaged,Discount Survivors
102,27,Male,North Dakota,Yes,Coat,Outerwear,XL,White,Spring,85,50,Credit Card,Express,1,1,1,4.6,0.92,1,0.75,1,1,High Value,0.692,0.925,Highly Promo Dependent,Highly Engaged,Discount Survivors
103,51,Male,Oklahoma,Yes,Socks,Clothing,L,Violet,Winter,67,35,Credit Card,Next Day Air,1,1,1,4.8,0.96,0.7,0.4,1,1,Mid Value,0.536,0.685,Highly Promo Dependent,Highly Engaged,Discount Survivors
104,54,Male,West Virginia,Yes,Boots,Footwear,L,Red,Winter,89,22,Venmo,Next Day Air,1,1,1,4,0.8,0.44,0.75,1,1,High Value,0.512,0.665,Highly Promo Dependent,Moderately Engaged,Discount Survivors
105,55,Male,New Hampshire,Yes,Sunglasses,Accessories,L,Pink,Spring,24,1,PayPal,2-Day Shipping,1,1,1,4.4,0.88,0.02,0.6,1,1,Low Value,0.364,0.13,Highly Promo Dependent,Low Engagement,Discount Survivors
106,69,Male,New York,Yes,Backpack,Accessories,M,Charcoal,Fall,96,4,Bank Transfer,Next Day Air,1,1,1,3.6,0.72,0.08,0.2,1,1,High Value,0.286,0.52,Highly Promo Dependent,Low Engagement,Discount Survivors
107,64,Male,Minnesota,Yes,Jacket,Outerwear,L,White,Summer,35,31,Credit Card,Standard,1,1,1,3.7,0.74,0.62,0.6,1,1,Low Value,0.53,0.485,Highly Promo Dependent,Moderately Engaged,Discount Survivors
108,28,Male,Maryland,Yes,Sneakers,Footwear,L,Olive,Winter,67,46,PayPal,Next Day Air,1,1,1,3.1,0.62,0.92,0.8,1,1,Mid Value,0.648,0.795,Highly Promo Dependent,Highly Engaged,Discount Survivors
109,70,Male,Montana,Yes,Socks,Clothing,L,Purple,Spring,79,32,Bank Transfer,Next Day Air,1,1,1,3.4,0.68,0.64,0.75,1,1,High Value,0.56,0.715,Highly Promo Dependent,Moderately Engaged,Discount Survivors
110,58,Male,Alabama,Yes,T-shirt,Clothing,M,Violet,Spring,85,43,Bank Transfer,Next Day Air,1,1,1,2.6,0.52,0.86,0.8,1,1,High Value,0.62,0.855,Highly Promo Dependent,Highly Engaged,Discount Survivors
111,56,Male,New York,Yes,Backpack,Accessories,M,Black,Summer,26,26,Venmo,Standard,1,1,1,4,0.8,0.52,0.8,1,1,Low Value,0.546,0.39,Highly Promo Dependent,Moderately Engaged,Discount Survivors
112,26,Male,Massachusetts,Yes,Belt,Accessories,L,Purple,Summer,75,9,Credit Card,Free Shipping,1,1,1,5,1,0.18,0.2,1,1,High Value,0.344,0.465,Highly Promo Dependent,Low Engagement,Discount Survivors
113,37,Male,Florida,Yes,Gloves,Accessories,M,Red,Spring,65,28,PayPal,Free Shipping,1,1,1,4.3,0.86,0.56,0.75,1,1,Mid Value,0.554,0.605,Highly Promo Dependent,Moderately Engaged,Discount Survivors
114,44,Male,New Jersey,Yes,Hat,Accessories,L,Maroon,Winter,54,20,PayPal,Next Day Air,1,1,1,3.1,0.62,0.4,0.4,1,1,Mid Value,0.412,0.47,Highly Promo Dependent,Moderately Engaged,Discount Survivors
115,70,Male,Massachusetts,Yes,Coat,Outerwear,S,Blue,Summer,95,9,Cash,Store Pickup,1,1,1,3.7,0.74,0.18,1,1,1,High Value,0.478,0.565,Highly Promo Dependent,Low Engagement,Discount Survivors
